EXCEL SATIR 85 OK | BLACK RUBY | 04.04.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=4-11-12-5-1-7-9-7-14-1
EXCEL SATIR 86 OK | BLACK RUBY | 21.03.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=3-9-7-1-6-8-4-12-2-11
EXCEL SATIR 87 OK | BLACK RUBY | 24.01.2026 | Seyir=11 | KUTU_BULUNAMADI_11
EXCEL SATIR 88 OK | VISENYA | 19.06.2026 | Seyir=7 | FAZ30_LISTE=2-4-3-6-5-1-8-7-13-13
EXCEL SATIR 89 OK | SECRET LAV | 02.07.2026 | Seyir=3 | FAZ30_LISTE=5-6-3-8-2-11-4-9-7-1
EXCEL SATIR 90 OK | SECRET LAV | 09.06.2026 | Seyir=1 | FAZ30_LISTE=9-6-11-3-7-8-1-4-5-2
EXCEL SATIR 91 OK | SECRET LAV | 04.06.2026 | Seyir=1 | FAZ30_LISTE=7-4-2-1-6-5-3-14-14-14
EXCEL SATIR 92 OK | SECRET LAV | 28.04.2026 | Seyir=1 | FAZ30_LISTE=5-7-11-6-8-9-1-2-1-3
EXCEL SATIR 93 OK | SECRET LAV | 22.02.2026 | Seyir=8 | FAZ30_LISTE=1-2-5-6-7-8-4-3-13-13
EXCEL SATIR 94 OK | STASERA | 02.07.2026 | Seyir=7 | FAZ30_LISTE=6-3-8-5-2-11-4-9-7-1
EXCEL SATIR 95 OK | STASERA | 21.05.2026 | Seyir=3 | FAZ30_LISTE=1-8-4-3-6-5-2-7-9-14
EXCEL SATIR 96 OK | STASERA | 28.04.2026 | Seyir=3 | FAZ30_LISTE=5-7-6-11-8-1-2-9-1-3
EXCEL SATIR 97 OK | STASERA | 13.04.2026 | Seyir=5 | FAZ30_LISTE=3-5-4-6-9-7-1-10-2-13
EXCEL SATIR 98 OK | STASERA | 27.03.2026 | Seyir=11 | KUTU_BULUNAMADI_11
EXCEL SATIR 99 OK | STASERA | 15.03.2026 | Seyir=2 | FAZ30_LISTE=1-4-6-2-3
EXCEL SATIR 100 OK | OHRID INCISI | 03.07.2026 | Seyir=5 | FAZ30_LISTE=3-1-5-2-6-4-11-11-11-11
EXCEL SATIR 101 OK | OHRID INCISI | 04.03.2026 | Seyir=7 | FAZ30_LISTE=4-3-5-1-8-6-2-7-14-14
EXCEL SATIR 102 OK | CAPE COD | 20.05.2026 | Seyir=6 | FAZ30_LISTE=6-4-3-2-1-5-7-4-4-4
EXCEL SATIR 103 OK | CAPE COD | 21.02.2026 | Seyir=5 | FAZ30_LISTE=11-3-12-7-6-5-9-1-2-10
EXCEL SATIR 104 OK | CAPE COD | 31.01.2026 | Seyir=10 | FAZ30_LISTE=7-14-4-5-10-1-12-6-3-9
EXCEL SATIR 105 OK | SECRET OF DRAGON | 03.07.2026 | Seyir=5 | FAZ30_LISTE=4-8-6-3-7-2-1-9-9-9
EXCEL SATIR 106 OK | SECRET OF DRAGON | 17.06.2026 | Seyir=2 | FAZ30_LISTE=4-5-1-3-6-2-7-8-4-4
EXCEL SATIR 107 OK | SECRET OF DRAGON | 29.05.2026 | Seyir=3 | FAZ30_LISTE=1-4-5-2-6-3-4-14-14-4
EXCEL SATIR 108 OK | SECRET OF DRAGON | 08.05.2026 | Seyir=4 | FAZ30_LISTE=1-7-8-6-3-2-4-4-4-4
EXCEL SATIR 109 OK | ART OF VICTORY | 08.05.2026 | Seyir=2 | FAZ30_LISTE=5-6-2-7-1-3-11-11-11-11
EXCEL SATIR 110 OK | ART OF VICTORY | 17.04.2026 | Seyir=4 | FAZ30_LISTE=6-4-2-7-1-3-5-14-14-14
EXCEL SATIR 111 HATA | BACKTRACK | 05.07.2026 | Açılan sayfa video değil: https://www.tjk.org/TR/yarissever/Query/ConnectedPage/AtKosuBilgileri?QueryParameter_SehirId=-1&QueryParameter_PistKodu=-1&QueryParameter_MesafeStart=-1&QueryParameter_MesafeEnd=-1&Sort=VideoYol&OldQueryParameter_AtId=112968 | NORMAL_CLICK | HEDEF_SATIR_OK_ZAYIF_TEK_ADAY puan=10 neden=LINK_VIDEO_SINYAL txt=Tarih Şehir Msf Pist S Derece Sıklet Takı Jokey St Gny Grup K. No-K. Adı Kcins Ant. Sahip HP Ikramiye S20
EXCEL SATIR 112 HATA | BACKTRACK | 17.06.2026 | Açılan sayfa video değil: https://www.tjk.org/TR/yarissever/Query/ConnectedPage/AtKosuBilgileri?QueryParameter_SehirId=-1&QueryParameter_PistKodu=-1&QueryParameter_MesafeStart=-1&QueryParameter_MesafeEnd=-1&Sort=VideoYol&OldQueryParameter_AtId=112968 | NORMAL_CLICK | HEDEF_SATIR_OK_ZAYIF_TEK_ADAY puan=10 neden=LINK_VIDEO_SINYAL txt=Tarih Şehir Msf Pist S Derece Sıklet Takı Jokey St Gny Grup K. No-K. Adı Kcins Ant. Sahip HP Ikramiye S20
