Elazığ;(22. Yarış Günü);15/07/2026
1. Kosu :   17.45;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.21.14
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
16;QUATRO KG DB SK;6y a  a;ÖZGÜNHAN;PÜRNEŞE;60;M.BAL AP;ERKUT ŞAHİN;B.FAHRİOĞLU;11;%1.09(9)  %1.02(8);56;3:23.08;25,10;
17;BAŞ ALP KG DB;7y d  a;BABA MEVLÜT;KUTBİKE;60;N.ALTIN;FUAT CANLIKA;M.BULUÇ;16;%5.12(7)  %5.3(7);75;3:33.75;13,65;
18;SEHHAR KG DB;6y a  a;TÜMÖZ BEY;GÜLBENCE;60;A.H.BAYAR;YÜKSEL ARSLAN;A.AKBABA;10;%4.41(10)  %4.02(10);85;3:53.96;19,75;
[(8)NESİB,(10)QUATRO,] eküridir.GANYAN(8) :25,10 TL, 1. 3'LÜ GANYAN(2/12/8,10) :616,70 TL, İKİLİ(8/12) :193,70 TL, SIRALI İKİLİ(8/12) :351,50 TL, PLASE(12) :4,60 TL, PLASE(8) :7,10 TL, PLASE İKİLİ(8/12) :91,70 TL, PLASE İKİLİ(8/9) :240,80 TL, PLASE İKİLİ(9/12) :201,50 TL, SIRALI 5 Lİ BAHİS(8/12/9/18/13) :Bilen çıkmamıştır, 947,910.01 TL devretmiştir., TABELA BAHİS SIRASIZ(8/12/9/18) :47.651,40 TL, TABELA BAHİS(8/12/9/18) :Sıralı bilen çıkmamıştır., 3. ÇİFTE(12/8,10) :223,80 TL

5. Kosu :   20.00;ŞARTLI 4/DHT; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.21.14
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)105.000 TL;2.)42.000 TL;3.)21.000 TL;4.)10.500 TL;5.)5.250 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ZENGHAT KG SK;3y a  d;BALALAYKA;KAFKASLIDEVRANI;55 +0.80;A.H.BAYAR;HÜSEYİN BECENE;MEHM.KAYA;4;%14.44(3)  %14.78(3);41;1:27.81;6,75;5 Boy
2;TELLİ DERELİ KG DB SK;3y k  e;ŞİMŞEĞİNOĞLU;ELA HANIM;57 +0.30;Y.CENGİZ;ÖMER YARDIMCI;EY.YARDIMCI;5;%32.1(1)  %31.16(1);42;1:28.79;2,35;Yarım Boy
3;GÜZELBİLGE K;3y k  d;DENİZİM;ACIBADEM;55 +2.00;A.ÇANKAYA;MAHMUT YARDIMCI;EY.YARDIMCI;2;%2.22(8)  %1.97(8);30;1:28.90;31,70;3,5 Boy
4;BİLGİNURKIZI KG SK;3y k  d;BİLDENHAN;BİLGİNUR;55 +1.30;S.KAPLAN;ZABİTE CANPOLATLI;S.KARAKEÇİLİ;1;%1.83(9)  %1.37(9);31;1:29.60;26,65;5,5 Boy
5;GÜNÇİÇEK KG K;3y k  d;TÜMÖZ BEY;CİBEK;55 +0.50;N.ALTIN;HASAN ULUCAN;B.FAHRİOĞLU;9 - DS;%12.37(4)  %13.21(4);34;1:30.71;6,70;
6;KOŞ ARTUN K;3y a  e;KURUŞAĞA;YILDIZ TÜRE;57;İ.KATAR;VELİT ARTUN;S.KARAKEÇİLİ;3;%7.86(5)  %7.48(5);32;1:33.19;7,10;
7;DEDEBEDO KG K;3y k  e;BİLDENHAN;SEVDA KIZI;57;A.AKDEMİR;LÜTFİ ÇELİK;S.KARAKEÇİLİ;6;%3.22(7)  %3.53(7);33;1:35.26;21,90;
8;ŞUBAT BEY KG DB SK;3y k  e;ŞİMŞEĞİNOĞLU;ADALETKAYA;57;İ.AKYAVUZ;BEYAZ CAMUZ;E.AÇMAZ;8;%20.82(2)  %21.17(2);35;1:42.94;3,30;
9;SEDERİ GÜZELİ KG K;3y a  d;BALALAYKA;ÖZ ŞUBAT;57;H.ALTUNKILIÇ;MEHMET ALİ ÇEÇAN;M.A.SUBAY;7;%5.14(6)  %5.33(6);38;1:46.29;16,85;
GANYAN(8) :6,75 TL, İKİLİ(5/8) :8,35 TL, SIRALI İKİLİ(8/5) :23,40 TL, ÜÇLÜ BAHİS(8/5/7) :636,90 TL, PLASE(5) :1,40 TL, PLASE(8) :1,85 TL, 4. ÇİFTE(8,10/8) :139,15 TL

6. Kosu :   20.30;ŞARTLI 3; 3 ve Yukarı İngilizler; 54.00kg; 60.00 kg; 60.50 kg; 2000m; Kum;;;;Rekor Derece :2.07.49
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;OĞLUM SALİH K DB;4y d  a;EUPRHATES (USA);PIETRA;58 +0.20;A.ÇANKAYA;AHMET DİLMAÇ;R.BARMAN;2;%8.27(5)  %8.88(5);65;2:18.33;8,60;6,5 Boy
2;ATOM CEMİL DB SK;9y d  a;ROCKMASTER (IRE);FROM THE SINOPE;57,5;N.ALTIN;ALİ KAYA;Y.BAYSAL;12 - DS;%2.58(11)  %2.12(11);65;2:19.60;26,80;4 Boy
3;ÇAĞANIM DB SKG SK;5y d  a;LION HEART (USA);TALİA HANIM;60,5;M.DOĞAN;ALİ YAVUZ;E.ALTIN;1;%5.98(7)  %5.83(7);79;2:20.38;14,95;1 Boy
4;EL VERDUGO KG SK;4y d  a;MENDIP (USA);GOOD MEMORY;60;İ.AKYAVUZ;MUHAMMET FELHAN;A.AKBABA;6;%5.11(8)  %5.14(8);66;2:20.54;13,70;14 Boy
5;KIZIM ELAY KG SK;4y a k;SUPER SAVER (USA);CITADEL;56 +0.50;M.E.DOĞAN;EMRE YAVUZ;İ.ATMACA;4;%3.72(10)  %3.17(10);73;2:23.23;20,70;
6;ANADOLU KAPLANI SKG SK;7y d  g;MENDIP (USA);CROSS YOUR FINGERS (USA);60,5;M.A.AKTÜRK;SELAMİ NURAL;ES.YILDIRIM;11;%12.72(2)  %12.6(3);78;2:23.67;9,35;
7;ATLANTIC BLACK DB SKG SK;4y d  a;TIZWAY (USA);ÜMİTLİ;58;MEH.TAŞKAYA;MEHMET KAYA;K.TAŞDEMİR;10;%12.71(3)  %14.69(2);74;2:25.47;4,20;
8;JAN AQUA KG DB SK;5y d  a;VICTORY GALLOP (CAN);ASORTİK;57,5;İ.KATAR;BEKİR AKYAVUZ;MEHM.KAYA;5;%4.07(9)  %3.93(9);99;2:29.85;16,10;
9;FOOT LOOS KG K;4y d  a;AVERY ISLAND (USA);LIGHT FOOT;60;H.ALTUNKILIÇ;MUSTAFA SAFRAN;MAHMUT DOĞAN;7;%23.18(1)  %22.15(1);56;2:32.60;2,85;
10;ABDÜL DB SKG SK;5y d  a;TOROK (IRE);ELEVATO;57,5;A.AKDEMİR;FIRAT TEKİNALP;K.TAŞDEMİR;8;%9.76(4)  %9.81(4);81;2:34.91;9,05;
11;BALDUR DB SKG SK;4y k  a;KING OF THE SUN;THINK N SPELL;57;A.H.BAYAR;HİKMET ÇELİK;S.KARAKEÇİLİ;9;%1.91(13)  %1.38(13);63;2:38.75;37,90;
