Diyarbakır;(14. Yarış Günü);18/07/2026
1. Kosu :   21.00;ŞARTLI 19; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.10.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
3;KRALDOĞAN SKG SK;6y a  a;JOKER;OFİON;60,5;S.KAPLAN;MEHMET DOĞAN;At Sahibi;9;%9.41(4);49;2:12.39;7,85;Baş
4;MUNİS KG K DB;5y a k;GELİBOLU;ZÜLUMKAR;60;L.TAPTIK AP;MEHMET DOĞAN;MAHMUT DOĞAN;7;%3.66(10);54;2:12.42;17,50;6,5 Boy
5;UFUKYELİ K DB;5y a  a;UFUKBİR;ESERYEL;55,5 +0.90;M.E.DOĞAN;YAVUZ KANDIRAN;İ.ATMACA;3;%3.63(11);39;2:13.56;15,75;
6;ÜNSALBEYİM KG DB SK;4y k  a;ÖZHABER;SİYAH ALTIN;54,5 +1.50;M.B.ÇAKMAK AP;ABDULLAH KILINÇ;M.BULUÇ;6;%6.94(7);41;2:13.64;12,20;
7;AKGOLD DATÇA KG SK;5y k  a;AKARÇAY;SABAH YAĞMURU;54 +0.20;H.YÖNDEN AP;MEHMET EMİN AKBALIK;MEHM.KAYA;1;%5.58(9);42;2:14.25;8,60;
8;HIZLI BERATIM KG DB SK;4y k  a;FATİH AĞA;BELLA;52 +2.00;İ.AKIN AP;EYYÜP AYDINLIKTA;H.TEKİNALP;5;%2.38(13);36;2:14.92;26,90;
9;HAMDİ AĞA KG DB;5y a  a;ORÇUN;BENLİDİLBER;62;A.AKDEMİR;MEHMET S. MELİK;S.KARAKEÇİLİ;8;%11.41(3);52;2:18.30;9,05;
10;ÇELİK PARÇASI KG K DB;4y k  a;FATİH AĞA;MANTARKIZI;57 +1.50;R.DOĞAN;İBRAHİM ÇELİK;E.ALTIN;10;%6.74(8);46;2:24.52;9,65;
11;PERVARİ KG DB SK;4y k  a;FATİH AĞA;PREVEZE;57,5;İ.KATAR;BÜLENT TOYDEMİR;MAHMUT DOĞAN;4;%9.25(5);47;2:27.85;9,65;
12;KRAL AHMET KG DB;5y k  a;HABERKAN;BİLGİLİKIZ;58 +2.00;M.P.DEMİR AP;MEHMET BOZAN GÖKKAN;At Sahibi;11;%2.76(12);44;2:29.51;24,70;
13;KORHANTAY KG DB SK;5y k  a;ULUER;KAMERBANU;54,5 +1.40;N.ALTIN;ARKIN ARSLAN;A.AKBABA;13 - DS;%14.82(2);37;Derecesiz;5,55;
GANYAN(12) :10,55 TL, 6'LI GANYAN(6/4/1/4/4/12) :96.006,30 TL, 5'Lİ GANYAN(4/1/4/4/12) :23.861,02 TL, 4'LÜ GANYAN(1/4/4/12) :2.318,92 TL, 3'LÜ GANYAN(4/4/12) :259,40 TL, İKİLİ(4/12) :32,20 TL, SIRALI İKİLİ(12/4) :72,60 TL, PLASE(12) :3,20 TL, PLASE(4) :1,90 TL, PLASE İKİLİ(3/12) :26,70 TL, PLASE İKİLİ(3/4) :20,90 TL, PLASE İKİLİ(4/12) :15,90 TL, SIRALI 5 Lİ BAHİS(12/4/3/1/10) :145.751,25 TL, TABELA BAHİS(12/4/3/1) :7.542,90 TL, TABELA BAHİS SIRASIZ(12/4/3/1) :196,87 TL, 5. ÇİFTE(4/12) :15,20 TL

